cancel,v, 取消， 废除； 删去， 删除； 抵消,'kænsl,cancel&type=1,"[{'sContent': 'Our flight was cancelled.', 'sCn': '我们的航班取消了。'}, {'sContent': 'I’m afraid I’ll have to cancel our meeting tomorrow.', 'sCn': '恐怕我得取消我们明天的会议。'}, {'sContent': 'You’ll just have to ring John and cancel.', 'sCn': '你只能打电话给约翰取消了。'}]"
recline,v, 向后倚靠， 斜倚,rɪ'klaɪn,recline&type=1,"[{'sContent': 'She proceeded to recline on a chaise longue.', 'sCn': '她开始斜靠在一个躺椅上。'}]"
explosive,adj,爆炸的，爆发的；使人冲动的,ɪk'splousɪv,explosive&type=1,"[{'sContent': 'Because the gas is highly explosive, it needs to be kept in high-pressure containers.', 'sCn': '由于这种气体极易爆炸，因此需要保存在高压容器内。'}, {'sContent': 'A small explosive device (= bomb ) was set off outside the UN headquarters today.', 'sCn': '今天有一枚小型炸弹在联合国总部外爆炸。'}]"
prepare,v, 准备， 预备,prɪ'per,prepare&type=1,"[{'sContent': 'The prosecution wanted more time to prepare their case.', 'sCn': '原告想要有更多的时间来准备诉讼。'}]"
crusade,v, 加入十字军， 投身正义运动,kruː'seɪd,crusade&type=1,
supplant,vt, 取代， 代替,sə'plænt,supplant&type=1,"[{'sContent': 'Barker was soon supplanted as party leader.', 'sCn': '巴克在党内的领导地位很快就被人取代了。'}]"
surgeon,n, 外科医师,'sɜːrdʒən,surgeon&type=1,"[{'sContent': '...a heart surgeon.', 'sCn': '…一位心脏外科医生。'}]"
abrupt,adj, 突然的， 意外的； 唐突的， 鲁莽的,ə'brʌpt,abrupt&type=1,"[{'sContent': 'an abrupt change of plan', 'sCn': '计划的突然改变'}]"
discourage,vt, 使泄气， 使灰心； 阻止， 劝阻,dɪs'kɜːrɪdʒ,discourage&type=1,"[{'sContent': 'You should not let one failure discourage you.', 'sCn': '你不该失败一次就灰心丧气。'}]"
predispose,v, 事先影响某人； 易受感染,ˌpriːdɪ'spouz,predispose&type=1,"[{'sContent': 'They take pains to hire people whose personalities predispose them to serve customers well.', 'sCn': '他们煞费苦心雇用那些具备把顾客服务好的个性的人。'}]"
